id,name,description,price_100gm,purchase_unit_gram,purchase_unit_label
1,Milk (whole),"Milk, whole (Includes 3.5% or 3.8% fat milk; leche fresca)",0.09828,250,1 standard package (~250 g)
2,Buttermilk (whole),"Buttermilk, whole",0.179582,250,1 standard package (~250 g)
3,Evaporated milk (whole),"Milk, evaporated, whole",0.257601,250,1 standard package (~250 g)
4,"Yogurt (whole milk, plain)","Yogurt, whole milk, plain",0.412198,250,1 standard package (~250 g)
5,"Greek yogurt (whole milk, plain)","Yogurt, Greek, whole milk, plain",0.605436,250,1 standard package (~250 g)
6,Half-and-half cream,"Cream, half and half (Includes plain)",0.306065,250,1 standard package (~250 g)
7,Heavy cream,"Cream, heavy (Includes whipping cream; NS as to heavy or light)",0.620648,473,1 pint carton (~473 g)
8,Sour cream,"Sour cream, regular",0.434684,250,1 standard package (~250 g)
9,Cheddar cheese,"Cheese, Cheddar (Includes Coon; sharp cheese; Tillamook; Hoop; Pioneer; New York; Wisconsin; Longhorn)",1.123084,250,1 standard package (~250 g)
10,Feta cheese,"Cheese, Feta",2.02222,250,1 standard package (~250 g)
11,Mozzarella cheese (part-skim),"Cheese, Mozzarella, part skim (Includes Chedarella Cheese; string cheese; cheese sticks, NS as to type of cheese; Poly-O; Stringsters; County Line; Richfood; Mootown Snackers; Sorrento; lowfat; reduced fat; made with 2% milk)",1.064843,250,1 standard package (~250 g)
12,Parmesan cheese (dry grated),"Cheese, Parmesan, dry grated (Includes Romano, grated; Asiago, aged)",1.91342,250,1 standard package (~250 g)
13,Mexican cheese blend,"Cheese, Mexican blend (Includes Kraft Mexican Four Cheese; Sargento Mexican 4 Cheese)",0.938715,250,1 standard package (~250 g)
14,Cottage cheese,"Cheese, cottage, creamed, large or small curd (Includes regular (4% fat) cottage cheese)",0.439217,250,1 standard package (~250 g)
15,Ricotta cheese,"Cheese, Ricotta",0.520844,250,1 standard package (~250 g)
16,Beef steak,"Beef steak, NS as to cooking method, NS as to fat eaten",2.131758,500,1 package (~500 g)
17,Beef roast,"Beef, roast, roasted, NS as to fat eaten (Includes prime ribs; rib roast)",1.612947,500,1 package (~500 g)
18,Ground beef,"Ground beef, cooked",1.279787,500,1 package (~500 g)
19,Pork chop,"Pork chop, NS as to cooking method, NS as to fat eaten",1.048169,500,1 package (~500 g)
20,Pork steak,"Pork steak or cutlet, NS as to cooking method, lean and fat eaten",0.804911,500,1 package (~500 g)
21,Pork roast,"Pork roast, NS as to cut, cooked, NS as to fat eaten",0.958364,500,1 package (~500 g)
22,Chicken breast,"Chicken breast, NS as to cooking method, skin not eaten (Includes NS as to skin eaten; any source)",1.057152,500,1 package (~500 g)
23,Chicken thigh,"Chicken thigh, NS as to cooking method, skin not eaten (Includes any source)",0.844161,500,1 package (~500 g)
24,Chicken wing,"Chicken wing, NS as to cooking method (Includes drummette without sauce or seasoning; any source)",1.48433,500,1 package (~500 g)
