recipe_id,recipe_name,ingredient_id,ingredient_name,quantity,unit,weight_gram,source_ingredient_text,match_type
1,20-Minute Beef Stroganoff,152,Pasta,8,oz,230,8_oz (230_g) wide egg noodles (figures are for yolk-free noodles),normalized_or_substitute
1,20-Minute Beef Stroganoff,133,Olive oil,1,teaspoon,,1 teaspoon olive oil,exact_name
1,20-Minute Beef Stroganoff,117,Mushrooms,1,package,230,1 package (8_oz/230_g) sliced mushrooms,exact_name
1,20-Minute Beef Stroganoff,119,Onion,1,cup,150,1 large (1 cup/150_g/5.3_oz) coarsely-chopped onion,exact_name
1,20-Minute Beef Stroganoff,16,Beef steak,1,package,480,1 package (17_oz/480_g) prepared beef tips with gravy,normalized_or_substitute
1,20-Minute Beef Stroganoff,1,Milk (whole),0.25,cup,,¼ cup (60_ml/2.0_US fl_oz) skim milk,exact_name
1,20-Minute Beef Stroganoff,117,Mushrooms,1,can,305,1 can (10.75_oz/305_g) condensed cream of mushroom soup (figures are for fat-free),normalized_or_substitute
1,20-Minute Beef Stroganoff,114,Garlic,1,teaspoon,,1 teaspoon bottled minced garlic,exact_name
1,20-Minute Beef Stroganoff,8,Sour cream,0.5,cup,,½ cup (250_ml/8.5_US fl_oz) sour cream (figures are for reduced-fat),exact_name
1,20-Minute Beef Stroganoff,120,Parsley,0.25,cup,124.74,¼ cup (125_g/4.4_oz) finely-chopped fresh parsley,exact_name
2,African Cabbage Stew,163,Oil,2,tablespoons,,2 tablespoons avocado oil,normalized_or_substitute
2,African Cabbage Stew,119,Onion,2,count,,"2 medium-size onions, neatly chopped",exact_name
2,African Cabbage Stew,114,Garlic,4,count,,"4 medium-size garlic, minced",exact_name
2,African Cabbage Stew,106,Celery,3,stalks,,"3 medium-size stalks celery, minced",exact_name
2,African Cabbage Stew,102,Green cabbage,1,count,,"1 medium-size cabbage, neatly cut",normalized_or_substitute
2,African Cabbage Stew,145,Potatoes,2,count,,"2 medium-size potatoes, neatly cut",exact_name
2,African Cabbage Stew,94,Carrots,3,count,,"3 medium-size carrots, neatly chopped",exact_name
3,Agnolotti Pasta Soup (Agnolotti in Brodo),152,Pasta,250,grams,250,250 grams (8__9 ounces) of agnolotti or other small ravioli-type pasta,exact_name
3,Agnolotti Pasta Soup (Agnolotti in Brodo),139,Cooking cream,0.5,cup,,½ cup of single (light) cream,normalized_or_substitute
3,Agnolotti Pasta Soup (Agnolotti in Brodo),120,Parsley,1,count,,1 handful of chopped flat-leaf parsley,exact_name
3,Agnolotti Pasta Soup (Agnolotti in Brodo),12,Parmesan cheese (dry grated),0,garnish,,Freshly-grated Parmesan cheese (Parmigiano-Reggiano) for garnish,exact_name
4,Albanian Fried Meatballs,150,Bread,1,slice,,1 slice stale bread,exact_name
4,Albanian Fried Meatballs,164,Ground meat (beef/pork blend),1,lb,453.59,1 lb ground meat,exact_name
4,Albanian Fried Meatballs,119,Onion,1,count,,"1 small onion, finely-grated",exact_name
4,Albanian Fried Meatballs,9,Cheddar cheese,2,tablespoons,,2 tablespoons chopped feta cheese,normalized_or_substitute
4,Albanian Fried Meatballs,150,Bread,2,tablespoons,,2 tablespoons bread crumbs,exact_name
4,Albanian Fried Meatballs,129,Butter,2,tablespoons,,2 tablespoons oil or melted butter,exact_name
4,Albanian Fried Meatballs,120,Parsley,1,tablespoon,,1 tablespoon chopped parsley,exact_name
4,Albanian Fried Meatballs,154,Flour (all purpose),1,cup,,1 cup flour,exact_name
4,Albanian Fried Meatballs,133,Olive oil,1,cup,,1 cup oil (olive oil recommended),exact_name
5,Albanian Mixed Vegetables,145,Potatoes,2,lbs,907.18,"2 lbs of various vegetables (peppers, eggplant, okra, zucchini, potatoes, etc.)",exact_name
5,Albanian Mixed Vegetables,163,Oil,0.5,cup,,"½ cup oil, divided",exact_name
5,Albanian Mixed Vegetables,119,Onion,1,cup,,1 cup chopped onion,exact_name
5,Albanian Mixed Vegetables,96,Tomatoes,1,cup,,1 cup peeled chopped tomatoes,exact_name
5,Albanian Mixed Vegetables,120,Parsley,1,tablespoon,,1 tablespoon chopped parsley,exact_name
6,Chicken Curry,22,Chicken breast,4,lb,1814.37,4 lb chicken,normalized_or_substitute
6,Chicken Curry,121,Chili pepper,0.5,teaspoon,,½ teaspoon red chile powder,normalized_or_substitute
6,Chicken Curry,4,"Yogurt (whole milk, plain)",100,ml,,100 ml coconut yogurt,exact_name
6,Chicken Curry,121,Chili pepper,1,teaspoon,,1 teaspoon chile powder,normalized_or_substitute
6,Chicken Curry,131,Coconut oil,1,tablespoon,,1 tablespoon coconut oil,exact_name
6,Chicken Curry,96,Tomatoes,500,g,500,"500 g tomatoes, diced",exact_name
6,Chicken Curry,4,"Yogurt (whole milk, plain)",150,ml,,150 ml coconut yogurt,exact_name
6,Chicken Curry,145,Potatoes,200,g,200,200 g potatoes,exact_name
6,Chicken Curry,119,Onion,1,count,,1 medium onion,exact_name
7,Black Bean Stir-Fry,114,Garlic,3,cloves,,"3 cloves garlic, minced",exact_name
7,Black Bean Stir-Fry,121,Chili pepper,1,teaspoon,,"1__2 fresh hot chiles, minced (or ½ teaspoon hot red pepper flakes)",normalized_or_substitute
7,Black Bean Stir-Fry,118,Green onions,4,pieces,,"4 scallions, separated: white part minced, green part cut on the diagonal in ½-inch pieces",normalized_or_substitute
7,Black Bean Stir-Fry,42,Chickpeas (canned),3,tablespoons,,3 tablespoons Chinese black beans,normalized_or_substitute
7,Black Bean Stir-Fry,134,Sesame oil,0.5,teaspoon,,½ teaspoon sesame oil,exact_name
7,Black Bean Stir-Fry,153,Rice,1,tablespoon,,1 tablespoon rice wine or sherry,exact_name
7,Black Bean Stir-Fry,34,Mussels (raw),2,pounds,450,"2 pounds (900 g) shellfish (clams, mussels, crabs, and/or lobster) or 1 pound (450 g) of shrimp, fish, poultry, or pork",exact_name
7,Black Bean Stir-Fry,163,Oil,1.5,tablespoons,,1½ tablespoons canola oil,exact_name
7,Black Bean Stir-Fry,119,Onion,0.5,cup,,½ cup onion cubes,exact_name
7,Black Bean Stir-Fry,122,Green bell pepper,1,count,,"1 red bell pepper or ½ red and ½ green peppers, cut in cubes",normalized_or_substitute
7,Black Bean Stir-Fry,94,Carrots,2,cups,,"2__3 cups, thinly sliced vegetables (cabbage, snow peas, and/or carrots",exact_name
7,Black Bean Stir-Fry,153,Rice,0,optional,,"Steamed white rice, optional",exact_name
8,Greek Moussaka,113,Eggplant,1,count,,1 large eggplant (aubergine),exact_name
8,Greek Moussaka,133,Olive oil,0,as_needed,,Greek olive oil,exact_name
8,Greek Moussaka,119,Onion,1,count,,"1 large onion, chopped",exact_name
8,Greek Moussaka,114,Garlic,6,cloves,,"6 cloves of garlic, chopped",exact_name
8,Greek Moussaka,133,Olive oil,3,tablespoons,,3 tablespoons olive oil,exact_name
8,Greek Moussaka,18,Ground beef,1,kg,1000,1 kg (2.2 lbs) minced/ground beef or lamb,exact_name
8,Greek Moussaka,96,Tomatoes,1,oz,800,1 large tin (28 oz/800 g) diced tomatoes,exact_name
8,Greek Moussaka,120,Parsley,2,tablespoons,,2 tablespoons chopped fresh parsley,exact_name
8,Greek Moussaka,108,Basil,2,tablespoons,,2 tablespoons chopped fresh Greek basil (optional),exact_name
8,Greek Moussaka,129,Butter,3,tablespoons,,3 tablespoons butter,exact_name
8,Greek Moussaka,154,Flour (all purpose),4,tablespoons,,4 tablespoons plain flour,exact_name
8,Greek Moussaka,1,Milk (whole),2,cups,,2 cups (½ L) milk,exact_name
8,Greek Moussaka,12,Parmesan cheese (dry grated),0.5,cup,,½ cup (120 ml) freshly-grated Parmesan cheese,exact_name
8,Greek Moussaka,9,Cheddar cheese,1,cup,,"1 cup (250 ml) grated cheese (e.g. Edam, etc.)",normalized_or_substitute
8,Greek Moussaka,146,Eggs,1,count,,1 egg,normalized_or_substitute
9,Potato and Chicken Stew (Ajiaco),22,Chicken breast,1,g,750,1 ea. (approximately 750 g) whole skin-on bone-in chicken breast,exact_name
9,Potato and Chicken Stew (Ajiaco),119,Onion,1,count,,"1 onion, peeled",exact_name
9,Potato and Chicken Stew (Ajiaco),118,Green onions,2,count,,2 scallions (white part and first 2 cm of green),normalized_or_substitute
9,Potato and Chicken Stew (Ajiaco),94,Carrots,2,count,,"2 carrots, peeled",exact_name
9,Potato and Chicken Stew (Ajiaco),114,Garlic,4,cloves,,"4 cloves garlic, peeled",exact_name
9,Potato and Chicken Stew (Ajiaco),110,Cilantro,4,count,,4 sprigs fresh cilantro,exact_name
9,Potato and Chicken Stew (Ajiaco),145,Potatoes,0.5,kg,500,0.5 kg small yellow potatoes. peeled,exact_name
9,Potato and Chicken Stew (Ajiaco),145,Potatoes,0.5,kg,500,0.5 kg small purple potatoes. peeled,exact_name
9,Potato and Chicken Stew (Ajiaco),145,Potatoes,0.5,kg,500,"0.5 kg mashing potatoes, peeled and sliced 2 cm thickness",exact_name
9,Potato and Chicken Stew (Ajiaco),155,Green peas,0.25,ml,,0.25 ml frozen peas,normalized_or_substitute
9,Potato and Chicken Stew (Ajiaco),111,Corn,4,count,,"4 ears of corn, quartered lengthwise and cooked",exact_name
9,Potato and Chicken Stew (Ajiaco),7,Heavy cream,10,ml,,10 ml whipping cream mixed with 10 ml créme fraíche,normalized_or_substitute
9,Potato and Chicken Stew (Ajiaco),64,Avocado,2,slices,,"2 ripe but firm Hass avocados, peeled, pitted and cut into eight slices right before serving",exact_name
9,Potato and Chicken Stew (Ajiaco),110,Cilantro,10,ml,,10 ml of finely chopped cilantro,exact_name
10,Easy Chicken Soup,117,Mushrooms,0.5,g,15,½-ounce (15 g) package dried crimini or portobello mushrooms,exact_name
