id,name,source_examples,review_status
1,Salt,A little salt | about 1 teaspoon salt | pinch of salt | pinch salt,grouped_from_unmatched
2,Black pepper,Black pepper to taste | black peppercorns | Fresh ground black pepper to taste | Freshly ground black pepper,grouped_from_unmatched
3,Cayenne / red pepper,"Freshly ground black pepper and cayenne pepper, to taste | large pinch of cayenne pepper | tablespoon crushed red pepper | teaspoon cayenne pepper, or to taste",grouped_from_unmatched
4,Paprika,"salt, pepper, paprika to taste | tablespoon (15 mL) paprika | tablespoon paprika | tablespoons paprika",grouped_from_unmatched
5,Cumin,ml ground cumin | tablespoon (15 mL) cumin | tablespoon cumin | teaspoon (5 g) ground cumin,grouped_from_unmatched
6,Coriander,teaspoon coriander | teaspoon ground coriander | tsp coriander | tsp ground coriander,grouped_from_unmatched
7,Turmeric,pinch of turmeric | teaspoon ground turmeric | teaspoon turmeric | tsp turmeric,grouped_from_unmatched
8,Curry powder,tablespoon curry powder | teaspoon curry powder | teaspoons curry powder | tsp curry powder (or to taste),grouped_from_unmatched
9,Garam masala,teaspoon garam masala | tsp garam masala,grouped_from_unmatched
10,Oregano,Oregano | tablespoon (15 mL) dried oregano | tablespoon ground oregano | tablespoon oregano,grouped_from_unmatched
11,Thyme,ml dried thyme | tablespoons dried thyme | tablespoons fresh thyme | teaspoon thyme,grouped_from_unmatched
12,Cinnamon,"cinnamon stick | cinnamon sticks | Sprinkle of nutmeg, cinnamon, and black pepper | tablespoon powdered tuj (cinnamon)",grouped_from_unmatched
13,Ginger,"cm piece of ginger, minced | inch piece of ginger, grated | tablespoon grated ginger | tablespoon minced fresh ginger root",grouped_from_unmatched
14,Nutmeg,"Nutmeg | Sprinkle of nutmeg, cinnamon, and black pepper | tsp nutmeg",grouped_from_unmatched
15,Saffron,Pinch saffron | pinch(es) saffron | threads saffron (optional),grouped_from_unmatched
16,Cardamom,tablespoon powdered elachi (cardamom) | whole cardamom pods,grouped_from_unmatched
17,Cloves,tablespoon powdered cloves,grouped_from_unmatched
18,Fennel seeds,teaspoon fennel seeds,grouped_from_unmatched
19,Mustard,tablespoon (15 ml) Dijon mustard | teaspoon dry mustard | teaspoon mustard seeds | teaspoons dry mustard,grouped_from_unmatched
20,Bay leaves,>1 bay leaf | bay leaf,grouped_from_unmatched
21,Rosemary,chopped fresh rosemary | sprig of rosemary about 3 inches long,grouped_from_unmatched
22,Mint,"cup fresh mint, finely chopped | Fresh mint sprigs | g fresh mint | Mint",grouped_from_unmatched
23,Dill,"cup fresh dill, finely chopped",grouped_from_unmatched
24,Marjoram,teaspoons marjoram,grouped_from_unmatched
25,Fenugreek,teaspoon fenugreek leaves,grouped_from_unmatched
26,Galangal,"tsp galangal root, ground or grated | x 1-inch (5 x 2.5 cm) cube galangal, sliced thin",grouped_from_unmatched
27,Kaffir lime leaves,kaffir lime leaves,grouped_from_unmatched
28,Berbere spice blend,tablespoon berbere spice blend | tablespoons berbere spice blend | teaspoons berbere spice blend,grouped_from_unmatched
29,Italian seasoning,teaspoons dried Italian seasoning,grouped_from_unmatched
30,Soy sauce,ml light soy sauce | Salty soy sauce or salt | Sweet soy sauce | tablespoons soy sauce,grouped_from_unmatched
31,Oyster sauce,tbsp oyster sauce,grouped_from_unmatched
32,Fish sauce,cup (60 ml) fish sauce,grouped_from_unmatched
33,Hoisin sauce,ml hoisin sauce | tsp Hoisin sauce,grouped_from_unmatched
34,Teriyaki sauce,About ¼ cup teriyaki sauce | tablespoons teriyaki marinade/sauce,grouped_from_unmatched
35,Worcestershire sauce,slug Worcestershire sauce | tbsp Worcestershire sauce | teaspoon (2 ml) Worcestershire Sauce,grouped_from_unmatched
36,Barbecue sauce,"ml barbeque sauce | tablespoon (15 ml) chipotle BBQ Sauce, or a healthy pinch of chipotle powder",grouped_from_unmatched
37,Hot sauce,teaspoon Texas Pete or other hot sauce (optional),grouped_from_unmatched
38,Vinegar,cup vinegar | cup white vinegar | splash of vinegar | tablespoons (30 mL) wine vinegar (red or white),grouped_from_unmatched
39,Pickles / capers,ml of pickled capers | Pickles,grouped_from_unmatched
40,Bouillon / stock,cube vegetarian bouillon | cup vegetable broth or water | cup water or homemade vegetable stock | cups of vegetable broth,grouped_from_unmatched
41,Wine / beer / liqueur,cup (250 ml) red wine | cup red wine | cup sherry | cups dry white wine,grouped_from_unmatched
42,Cornstarch,"tablespoons cornstarch and 2 tablespoons cold water | tbsp cornstarch (optional) | tbsp cornstarch (to thicken sauce; optional) | tbsp cornstarch, or as needed",grouped_from_unmatched
43,Baking powder / soda,teaspoon baking powder | teaspoon baking soda | teaspoons baking powder | tsp baking soda,grouped_from_unmatched
44,Gelatin,tsp powdered gelatin,grouped_from_unmatched
